Market_code,Symbol,Company_name,industry1,industry2
HOSE,AAA,アンファット・プラスチック・グリーン環境,製造業,プラスチック製品
HOSE,AAM,メコン水産,農林水産業,水産業
HOSE,ABT,ベンチェ水産,農林水産業,水産業
HOSE,ACC,ベカメックス・コンクリート,製造業,セメント・コンクリート
HOSE,ACL,クーロンフィッシュ,農林水産業,水産業
HOSE,ADS,ダムサン,製造業,繊維・縫製製品
HOSE,AGF,アンザン水産商事,農林水産業,水産業
HOSE,AGM,アンザン輸出入,商業,卸売業
HOSE,AGR,アグリバンク証券,金融業,証券業
HOSE,AMD,AMDグループ鉱産投資,商業,卸売業
HOSE,ANV,ナムベト水産,農林水産業,水産業
HOSE,APC,アンフー食品照射,サービス業,その他サービス
HOSE,APG,アンファット証券,金融業,証券業
HOSE,ASM,サオマイグループ,不動産業,不動産業
HOSE,ASP,アンファ石油グループ,商業,燃料販売
HOSE,AST,タセコエアーズ,商業,その他小売業
HOSE,ATG,アンチュオンアン,鉱業,その他鉱業
HOSE,BBC,ビエンホア製菓,製造業,食品・飲料
HOSE,BCE,ビンズオン交通建設,建設業,インフラ建設
HOSE,BCG,バンブーキャピタル,金融業,その他金融業
HOSE,BFC,ビンディエン肥料,製造業,肥料
HOSE,BHN,ハノイビール・アルコール飲料,製造業,食品・飲料
HOSE,BIC,ベトナム投資開発銀行保険,金融業,保険業
HOSE,BID,ベトナム投資開発銀行,金融業,銀行業
HOSE,BMC,ビンディン鉱産,鉱業,その他鉱業
HOSE,BMI,バオミン保険,金融業,保険業
HOSE,BMP,ビンミン・プラスチック,製造業,プラスチック製品
HOSE,BRC,ベンタインゴム,製造業,ゴム製品
HOSE,BSI,ベトナム投資開発銀行証券,金融業,証券業
HOSE,BTP,バリア火力発電,電気・ガス業,発電
HOSE,BTT,ベンタイン商業サービス,商業,その他小売業
HOSE,BVH,バオベトグループ,金融業,保険業
HOSE,BWE,ビンズオン上下水道環境,サービス業,上下水道
HOSE,C32,3-2建設投資,製造業,その他建設資材
HOSE,C47,第47建設,建設業,インフラ建設
HOSE,CAV,べトナム電線,製造業,電気・電子・通信機器
HOSE,CCI,クチ商工開発投資,不動産業,不動産業
HOSE,CCL,ペトロクウロン都市開発投資,不動産業,不動産業
HOSE,CDC,チュオンズオン建設,建設業,各種建築物建設
HOSE,CEE,CIIインフラ建設,建設業,インフラ建設
HOSE,CHP,中部水力発電,電気・ガス業,発電
HOSE,CIG,第18コマ,建設業,各種建築物建設
HOSE,CII,ホーチミン市インフラ投資,建設業,インフラ建設
HOSE,CLC,カットロイタバコ,製造業,タバコ
HOSE,CLG,コテックランド,不動産業,不動産業
HOSE,CLL,カットライ港,運輸・物流業,倉庫・運輸関連
HOSE,CLW,チョロン水道,サービス業,上下水道
HOSE,CMG,CMC技術グループ,情報通信業,情報通信サービス
HOSE,CMV,カマウ商業,商業,卸売業
HOSE,CMX,カマウ水産輸出入加工,農林水産業,水産業
HOSE,CNG,ベトナムCNG,電気・ガス業,ガス
HOSE,COM,資材・石油販売,商業,燃料販売
HOSE,CRC,クリエイト・キャピタルベトナム,商業,卸売業
HOSE,CRE,世紀不動産,不動産業,不動産業
HOSE,CSM,カスミナタイヤ,製造業,ゴム製品
HOSE,CSV,南部基礎化学品,製造業,化学
HOSE,CTD,コテコンズ建設,建設業,各種建築物建設
HOSE,CTF,シティーオート,商業,車両販売・修理
HOSE,CTG,ヴィエティンバンク,金融業,銀行業
HOSE,CTI,イディコ・クオントゥアン開発投資,建設業,インフラ建設
HOSE,CTS,ヴィエティンバンク証券,金融業,証券業
HOSE,CVT,CMC建設,製造業,タイル・煉瓦・瓦
HOSE,D2D,第2工業都市開発,不動産業,不動産業
HOSE,DAG,ドンアプラスチックグループ,製造業,プラスチック製品
HOSE,DAH,ドンアホテルグループ,サービス業,観光・宿泊・飲食
HOSE,DAT,観光投資水産開発,農林水産業,水産業
HOSE,DBD,ビンディン医薬品・医療設備,製造業,医薬品
HOSE,DCL,クーロン製薬,製造業,医薬品
HOSE,DCM,ペトロベトナム・カマウ肥料,製造業,肥料
HOSE,DGW,テーゾイソー,商業,卸売業
HOSE,DHA,ホアアン鉱業,鉱業,その他鉱業
HOSE,DHC,ベンチェー・ドンハイパルプ,製造業,パルプ・紙
HOSE,DHG,ハウザン製薬,製造業,医薬品
HOSE,DHM,ズオンヒエウ鉱産採掘商業,鉱業,その他鉱業
HOSE,DIC,DIC投資貿易,製造業,その他建設資材
HOSE,DIG,DIC不動産,不動産業,不動産業
HOSE,DLG,ドゥックロンザライグループ,製造業,木材加工
HOSE,DMC,ドメスコ医療輸出入,製造業,医薬品
HOSE,DPG,ダットフオン,建設業,インフラ建設
HOSE,DPM,ぺトロベトナム化学肥料,製造業,肥料
HOSE,DPR,ドンフーゴム,農林水産業,天然ゴム
HOSE,DQC,ディエンクアン電気機器,製造業,電気・電子・通信機器
HOSE,DRC,ダナンゴムタイヤ,製造業,ゴム製品
HOSE,DRH,ドリームハウス投資,不動産業,不動産業
HOSE,DRL,第3電力・水力発電,電気・ガス業,発電
HOSE,DSN,ダムセン・ウォーターパーク,サービス業,観光・宿泊・飲食
HOSE,DTA,デタム,不動産業,不動産業
HOSE,DTL,ダイティエン鉄鋼,製造業,鉄鋼
HOSE,DTT,ドタインプラスチック,製造業,プラスチック製品
HOSE,DVP,ディンブ港湾投資開発,運輸・物流業,倉庫・運輸関連
HOSE,DXG,ダットサイン建設不動産サービス,不動産業,不動産業
HOSE,DXV,ダナンビセム建設資材,商業,卸売業
HOSE,E1VFVN30,VFMVN30 ETF,金融業,投資ファンド
HOSE,EIB,エクシムバンク,金融業,銀行業
HOSE,ELC,通信電子技術開発投資,情報通信業,情報通信サービス
HOSE,EMC,トゥドゥック電気機械,製造業,電気・電子・通信機器
HOSE,EVE,ベトナム・エバーピア,製造業,繊維・縫製製品
HOSE,EVG,エバーランド投資,商業,卸売業
HOSE,FCM,FECON鉱産,鉱業,その他鉱業
HOSE,FCN,フェコン,建設業,その他建設
HOSE,FDC,ホーチミン市投資開発貿易,不動産業,不動産業
HOSE,FIR,ファーストリアル不動産,不動産業,不動産業
HOSE,FIT,FITグループ,金融業,その他金融業
HOSE,FLC,FLCグループ,不動産業,不動産業
HOSE,FMC,サオタ食品,農林水産業,水産業
HOSE,FPT,FPT情報通信,情報通信業,情報通信サービス
HOSE,FRT,FPTリテール,商業,その他小売業
HOSE,FTM,ドゥッククアン開発投資,製造業,繊維・縫製製品
HOSE,FTS,FPT証券,金融業,証券業
HOSE,FUCTVGF1,TVAMグロースファンド,金融業,投資ファンド
HOSE,FUCTVGF2,ティエンベト2グロースファンド,金融業,投資ファンド
HOSE,FUCVREIT,テクコムベトナムREITファンド,金融業,投資ファンド
HOSE,FUESSV50,SSIAM VNX50 ETF,金融業,投資ファンド
HOSE,GAB,GAB,製造業,タイル・煉瓦・瓦
HOSE,GAS,ペトロベトナムガス,電気・ガス業,ガス
HOSE,GDT,ドゥックタイン木材加工,製造業,木材加工
HOSE,GEX,ベトナム電気設備,製造業,電気・電子・通信機器
HOSE,GIL,ビンタイン商事,製造業,繊維・縫製製品
HOSE,GMC,サイゴン縫製貿易,製造業,繊維・縫製製品
HOSE,GMD,ジェマディプト港湾海運,運輸・物流業,倉庫・運輸関連
HOSE,GSP,国際石油ガス製品運輸,運輸・物流業,海運
HOSE,GTA,トゥアン・アン木材加工,製造業,木材加工
HOSE,GTN,GTNフーズ,製造業,食品・飲料
HOSE,HAG,ホアン・アイン・ザライ,農林水産業,農林業
HOSE,HAH,ハイアン運輸荷役,運輸・物流業,倉庫・運輸関連
HOSE,HAI,HAI農薬,製造業,化学
HOSE,HAP,ハパコ製紙グループ,製造業,パルプ・紙
HOSE,HAR,アンズオンタオディエン不動産商業投資,不動産業,不動産業
HOSE,HAS,ハシスコ,建設業,インフラ建設
HOSE,HAX,ハンサイン自動車サービス,商業,車両販売・修理
HOSE,HBC,ホアビン建設グループ,建設業,各種建築物建設
HOSE,HCD,HCD投資生産貿易,製造業,プラスチック製品
HOSE,HCM,ホーチミン市証券,金融業,証券業
HOSE,HDB,HDバンク,金融業,銀行業
HOSE,HDC,バリア・ブンタウ住宅開発,不動産業,不動産業
HOSE,HDG,ハド不動産グループ,不動産業,不動産業
HOSE,HHS,ホアンフイサービス投資,商業,車両販売・修理
HOSE,HID,ハロン投資コンサルティング,サービス業,建築設計
HOSE,HII,アンファット・イエンバイ鉱物・プラスチック,製造業,プラスチック製品
HOSE,HLG,ホアンロングループ,製造業,タバコ
HOSE,HMC,ホーチミン市金属,製造業,鉄鋼
HOSE,HNG,ホアン・アイン・ザライ国際農業,農林水産業,農林業
HOSE,HOT,ホイアン旅行サービス,サービス業,観光・宿泊・飲食
HOSE,HPG,ホアファット鉄鋼グループ,製造業,鉄鋼
HOSE,HPX,ハイファット投資,不動産業,不動産業
HOSE,HQC,ホアンクアン不動産商業コンサルティング,不動産業,不動産業
HOSE,HRC,ホアビンゴム,農林水産業,天然ゴム
HOSE,HSG,ホアセン鉄鋼グループ,製造業,鉄鋼
HOSE,HSL,ホンハ・ソンラ農産物加工,農林水産業,農林業
HOSE,HT1,ハティエンセメント工業,製造業,セメント・コンクリート
HOSE,HTI,イディコ開発投資,建設業,インフラ建設
HOSE,HTL,チュオンロン自動車・技術,商業,車両販売・修理
HOSE,HTN,フンティン・アイコンズ,不動産業,不動産業
HOSE,HTT,ハタイ貿易,不動産業,不動産業
HOSE,HTV,ハーティン運輸,運輸・物流業,海運
HOSE,HU1,第1HUD建設投資,建設業,各種建築物建設
HOSE,HU3,HUD第3建設投資,建設業,各種建築物建設
HOSE,HUB,トゥアティエンフエ建設,建設業,インフラ建設
HOSE,HVG,フンブオン水産,農林水産業,水産業
HOSE,HVH,HVCテクノロジー投資,建設業,その他建設
HOSE,HVN,ベトナム航空,運輸・物流業,空運
HOSE,HVX,ハイバンビセム・セメント,製造業,セメント・コンクリート
HOSE,IBC,エーパックス投資ホールディングス,サービス業,教育・医療
HOSE,IDI,国際投資開発,農林水産業,水産業
HOSE,IJC,技術インフラ開発,不動産業,不動産業
HOSE,ILB,タンカン・ロンビンICD,運輸・物流業,倉庫・運輸関連
HOSE,IMP,イメックスファーム医薬品,製造業,医薬品
HOSE,ITA,タンタオ不動産,不動産業,不動産業
HOSE,ITC,イントレスコ不動産,不動産業,不動産業
HOSE,ITD,ティエンフォン技術,情報通信業,情報通信サービス
HOSE,JVC,日越医療機器,商業,卸売業
HOSE,KAC,カンアン不動産投資,不動産業,不動産業
HOSE,KBC,キンバックシティーグループ,不動産業,不動産業
HOSE,KDC,キドグループ,製造業,食品・飲料
HOSE,KDH,カンディエン不動産,不動産業,不動産業
HOSE,KHP,カインホア電力,電気・ガス業,その他電力業
HOSE,KMR,ミラエ,製造業,繊維・縫製製品
HOSE,KPF,ホアンミン財政投資,サービス業,建築設計
HOSE,KSB,ビンズオン建設鉱産,鉱業,その他鉱業
HOSE,KSH,ハナム鉱産,鉱業,その他鉱業
HOSE,L10,リラマ10機械,製造業,機械
HOSE,LAF,ロンアン食品加工商事,製造業,食品・飲料
HOSE,LBM,ラムドン鉱産建設資材,製造業,その他建設資材
HOSE,LCG,第16リコジ建設,建設業,インフラ建設
HOSE,LCM,ラオカイ鉱産採掘加工,鉱業,その他鉱業
HOSE,LDG,LDG投資,不動産業,不動産業
HOSE,LEC,中部電力不動産,不動産業,不動産業
HOSE,LGC,CII道路橋梁投資,建設業,インフラ建設
HOSE,LGL,ロンザン都市開発投資,不動産業,不動産業
HOSE,LHG,ロンハウ工業団地,不動産業,不動産業
HOSE,LIX,LIX洗剤,製造業,化学
HOSE,LM8,リラマ18機械,製造業,機械
HOSE,LMH,ランドマークホールディング,商業,卸売業
HOSE,LSS,ラムソン製糖,製造業,食品・飲料
HOSE,MBB,軍隊銀行,金融業,銀行業
HOSE,MCG,ベトナムM&E建設,建設業,その他建設
HOSE,MCP,ミィチャウ包装印刷,製造業,包装
HOSE,MDG,ミエンドン,建設業,インフラ建設
HOSE,MHC,MHC,運輸・物流業,海運
HOSE,MSH,ソンホン縫製,製造業,繊維・縫製製品
HOSE,MSN,マサングループ,製造業,食品・飲料
HOSE,MWG,テーゾイジードン投資,商業,その他小売業
HOSE,NAF,NAフーズグループ,製造業,食品・飲料
HOSE,NAV,ナムベト建設資材,製造業,木材加工
HOSE,NBB,577不動産,不動産業,不動産業
HOSE,NCT,ノイバイ貨物サービス,運輸・物流業,倉庫・運輸関連
HOSE,NKG,ナムキム鉄鋼,製造業,鉄鋼
HOSE,NLG,ナムロン投資,不動産業,不動産業
HOSE,NNC,ヌイニョー石材,鉱業,その他鉱業
HOSE,NSC,中央種苗,農林水産業,農林業
HOSE,NT2,ペトロベトナム・第2ニョンチャック電力,電気・ガス業,発電
HOSE,NTL,トゥリエム都市開発,不動産業,不動産業
HOSE,NVL,ノバランド不動産投資グループ,不動産業,不動産業
HOSE,NVT,ニンバンベイ不動産,サービス業,観光・宿泊・飲食
HOSE,OGC,オーシャンインベストメントグループ,不動産業,不動産業
HOSE,OPC,OPC製薬,製造業,医薬品
HOSE,PAC,サザンバッテリー,製造業,電気・電子・通信機器
HOSE,PAN,パングループ,製造業,食品・飲料
HOSE,PC1,第1送電線建設,建設業,インフラ建設
HOSE,PDN,ドンナイポート,運輸・物流業,倉庫・運輸関連
HOSE,PDR,ファットダット不動産開発,不動産業,不動産業
HOSE,PET,ペトロベトナム総合サービス,商業,卸売業
HOSE,PGC,ペトロリメックスガス,電気・ガス業,ガス
HOSE,PGD,ペトロベトナム低圧ガス販売,電気・ガス業,ガス
HOSE,PGI,ペトロリメックス保険,金融業,保険業
HOSE,PHC,フックフン建設,建設業,各種建築物建設
HOSE,PHR,フオックホアゴム,農林水産業,天然ゴム
HOSE,PIT,ペトロリメックス通商,商業,卸売業
HOSE,PJT,ペトロリメックス・タンカー,運輸・物流業,海運
HOSE,PLP,ファレ・プラスチック製造技術,製造業,プラスチック製品
HOSE,PLX,ペトロリメックス,商業,燃料販売
HOSE,PME,ピメファーコ,製造業,医薬品
HOSE,PMG,中部ペトロ生産投資,電気・ガス業,ガス
HOSE,PNC,フオンナム総合出版,商業,その他小売業
HOSE,PNJ,フーニュアン・ジュエリー,製造業,その他製品
HOSE,POM,ポミナ鉄鋼,製造業,鉄鋼
HOSE,POW,PVパワー,電気・ガス業,発電
HOSE,PPC,ファーライ火力発電,電気・ガス業,発電
HOSE,PTB,フータイ,製造業,木材加工
HOSE,PTC,郵電建設投資,建設業,インフラ建設
HOSE,PTL,PVCペトロランド,不動産業,不動産業
HOSE,PVD,ペトロベトナム・ドリリング,鉱業,その他鉱業
HOSE,PVT,ペトロベトナム運輸,運輸・物流業,海運
HOSE,PXI,ペトロベトナム工業・住宅建設,建設業,各種建築物建設
HOSE,PXS,ペトロベトナム機械組立・鉄鋼構造物,製造業,機械
HOSE,PXT,ペトロベトナムパイプライン・タンク建設,建設業,インフラ建設
HOSE,QBS,クアンビン輸出入,商業,卸売業
HOSE,QCG,クオッククオン・ザライ,不動産業,不動産業
